department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
Sales & Marketing,region_7,Master & above,f,sourcing,1,35,5,8,1,0,49,N
Operations,region_22,Bachelors,m,other,1,30,5,4,0,0,60,N
Sales & Marketing,region_19,Bachelors,m,sourcing,1,34,3,7,0,0,50,N
Sales & Marketing,region_23,Bachelors,m,other,2,39,1,10,0,0,50,N
Technology,region_26,Bachelors,m,other,1,45,3,2,0,0,73,N
Analytics,region_2,Bachelors,m,sourcing,2,31,3,7,0,0,85,N
Operations,region_20,Bachelors,f,other,1,31,3,5,0,0,59,N
Operations,region_34,Master & above,m,sourcing,1,33,3,6,0,0,63,N
Analytics,region_20,Bachelors,m,other,1,28,4,5,0,0,83,N
Sales & Marketing,region_1,Master & above,m,sourcing,1,32,5,5,1,0,54,N
Sales & Marketing,region_7,Bachelors,f,sourcing,1,35,5,3,1,0,50,Y
Sales & Marketing,region_4,Bachelors,m,sourcing,1,49,5,5,1,0,49,N
Technology,region_29,Master & above,m,other,2,39,3,16,0,0,80,N
R&D,region_2,Master & above,m,sourcing,1,37,3,7,0,0,84,N
Operations,region_7,Bachelors,m,other,1,37,1,10,0,0,60,N
Technology,region_2,Bachelors,m,other,1,38,3,5,1,0,77,N
Sales & Marketing,region_31,Bachelors,m,other,1,34,1,4,0,0,51,N
Sales & Marketing,region_31,Bachelors,m,other,1,34,5,8,1,0,46,N
Operations,region_15,Bachelors,m,other,1,37,3,9,0,0,59,N
Procurement,region_14,Bachelors,m,other,1,35,3,7,0,0,75,N
Finance,region_11,Bachelors,f,other,1,28,3,4,0,0,63,N
Finance,region_22,Master & above,m,sourcing,2,39,5,7,0,0,59,N
Technology,region_22,Bachelors,m,other,1,27,5,3,1,0,83,N
Procurement,region_26,Bachelors,m,other,1,31,5,4,1,0,68,N
Technology,region_26,Bachelors,m,other,1,33,4,4,0,0,79,N
Analytics,region_5,Bachelors,m,other,1,29,5,3,1,0,80,N
Procurement,region_15,Bachelors,m,sourcing,1,37,5,10,1,0,72,N
